grid_id,grid_row,grid_col,lon,lat,lowlying_area_km2,lowlying_sample_count,mean_elevation_m,min_elevation_m,mean_coast_distance_km,tc_landfall_count,tc_landfall_per_year,tc_landfall_max_wind_ms,tc_landfall_mean_wind_ms,nearest_landfall_km,impact_min_wind_ms,score_lowland_area,score_landfall,score_wind,screen_score,rank_grid,low_elevation_threshold_m,coast_buffer_km,osm_coast_distance_km,osm_coast_within_inland_cap,osm_coast_contact_cell,exclusion_reason,ocean_connected_cell,ocean_sample_count,landcover_sample_count,population_sum_2020,population_density_per_lowland_km2,estuary_proxy_id
LLC_406_1203,406,1203,120.625,11.375,3.37531290067514,4,2.08742053075608,0,0.918402254581451,18,0.439024390243902,74.53,42.5287407407407,97.3336054659407,33,0.168200124468125,0.626885699978363,0.761904761904762,0.440730050287716,2972,10,200,8.47760963439941,1,1,tiny_isolated_connected_block_cells8_area27.9km2_tc18,1,0,0,NaN,NaN,
LLC_458_1212,458,1212,122.875,24.375,0.7834450158798,1,2.5,2.5,0.886887550354004,34,0.829268292682927,66.82,45.6663661971831,68.475481273899,33,0.0226617253090851,0.834364641347329,0.619047619047619,0.436800775785163,3022,10,200,10.0992670059204,1,1,tiny_isolated_connected_block_cells1_area0.8km2_tc34,1,0,0,NaN,NaN,
LLC_463_0403,463,403,-79.375,25.625,13.9578006415792,18,5.352745671167,0,0.924298403345995,8,0.195121951219512,74.53,42.2021052631579,78.3945568053859,33,0.367551120074274,0.373114300021637,0.761904761904762,0.428929438327793,3115,10,200,6.06706428527832,1,1,tiny_isolated_connected_block_cells4_area21.7km2_tc8,1,0,0,NaN,NaN,
LLC_406_1204,406,1204,120.875,11.375,2.53036710206354,3,3.04345284046438,0,0.918402254581451,17,0.414634146341463,74.53,42.8714074074074,100.330041815659,33,0.133401829813274,0.608523213388275,0.761904761904762,0.417725823056998,3242,10,200,0.26204988360405,1,1,tiny_isolated_connected_block_cells8_area27.9km2_tc18,1,0,0,NaN,NaN,
LLC_405_1204,405,1204,120.875,11.125,3.3777915187787,4,8.94747944937224,7.30999994277954,0.918402254581451,15,0.365853658536585,74.53,42.8088571428571,104.014823965402,33,0.168291969141322,0.568521353444916,0.761904761904762,0.417425641777276,3246,10,200,7.15626096725464,1,1,tiny_isolated_connected_block_cells8_area27.9km2_tc18,1,0,0,NaN,NaN,
LLC_444_1012,444,1012,72.875,20.875,343.318805829914,427,5.38192847455744,0,4.01859321363162,2,0.0487804878048781,41.12,38.2416,148.869956321797,33,0.876177532067352,0,0.142857142857143,0.41570846085888,3260,10,200,7.01085376739502,1,1,tiny_isolated_connected_block_cells6_area539.1km2_tc2,1,0,0,NaN,NaN,
LLC_435_0463,435,463,-64.375,18.625,35.0471904676076,43,4.08031420725473,0,1.06497617333821,4,0.0975609756097561,69.904,52.942,130.772926816191,33,0.510197151633713,0.173488269711265,0.676190476190476,0.400412597548248,3454,10,200,10.6504611968994,1,1,tiny_isolated_connected_block_cells3_area57.1km2_tc4,1,0,0,NaN,NaN,
LLC_404_1204,404,1204,120.875,10.875,2.53530703355081,3,5.4661362142059,0,0.919932544231415,13,0.317073170731707,74.53,43.3112631578947,101.042029996087,33,0.133628593675779,0.523170984981065,0.761904761904762,0.383686975432241,3642,10,200,6.53282403945923,1,1,tiny_isolated_connected_block_cells8_area27.9km2_tc18,1,0,0,NaN,NaN,
LLC_505_1253,505,1253,133.125,36.125,11.1248216573396,16,3.34442678126228,0,0.937780000454993,11,0.268292682926829,46.26,38.8221176470588,52.3370616075897,33,0.333498486661978,0.470817826733276,0.238095238095238,0.374115735405486,3763,10,200,0.348842144012451,1,1,tiny_isolated_connected_block_cells5_area23.6km2_tc11,1,0,0,NaN,NaN,
LLC_466_0406,466,406,-78.625,26.375,7.7015051743804,10,4.14000000953674,0,0.953208804130554,7,0.170731707317073,74.53,43.8185,141.84947583708,33,0.279696440847105,0.333112440078278,0.761904761904762,0.373394088698223,3775,10,200,13.9255771636963,1,1,tiny_isolated_connected_block_cells9_area683.9km2_tc7,1,0,0,NaN,NaN,
