model_domain_id,rank_domain,lon,lat,basin_id,basin_label,grid_cell_count,lowlying_area_km2,tc_landfall_count_max,tc_landfall_count_mean,tc_landfall_per_year_max,tc_landfall_max_wind_ms,mean_elevation_m,mean_coast_distance_km,mean_osm_coast_distance_km,nearest_landfall_km,screen_score_mean,population_sum_2020,population_density_per_lowland_km2,area_priority,tc_frequency_priority,population_priority,wind_priority,priority,span_km,alongshore_length_km,cross_shore_width_km,aspect_ratio,contains_estuary_proxy,estuary_proxy_count,domain_ocean_connected,ocean_connected_cell_count,osm_coast_contact_cell_count,exceeds_nominal_size_limits,limit_exception_reason,lon_min,lon_max,lat_min,lat_max,suggested_bbox_lon_min,suggested_bbox_lon_max,suggested_bbox_lat_min,suggested_bbox_lat_max,crosses_dateline,plot_rank,position_connected_rank,quicklook_basin_id
GTC_0021,50,-82.1808472619339,26.9094511752052,BASIN_NA,North American East and West Coasts,14,3567.8517942585,9,7.28571428571429,0.219512195121951,74.53,4.63887606602522,5.63426607136344,5.09866088152954,8.70023821800245,0.565752701243444,0,0,0.549469047153333,0.408897183077904,0,0.754901960784314,0.34894287874026,182.825366213017,182.149757648707,48.6624059020776,3.7431309503119,0,0,1,14,14,0,none,-82.75,-81.75,26,27.75,-83.25,-81.25,25.5,28.25,0,22,22,BASIN_NA
GTC_0015,29,-80.8096196542788,26.24556497044,BASIN_NA,North American East and West Coasts,65,28379.466779635,10,8.67692307692308,0.24390243902439,74.53,4.10932584275818,33.354325862978,30.2952421902547,7.95750486714514,0.644220063740696,0,0,0.872850979194649,0.44126673818796,0,0.754901960784314,0.426567087192545,365.500509119989,331.67511926109,185.597587728458,1.78706589520093,1,1,1,47,47,0,none,-82.25,-80,24.5,27.5,-82.75,-79.5,24,28,0,23,23,BASIN_NA
GTC_0030,44,-80.8364497125842,28.2819324540275,BASIN_NA,North American East and West Coasts,27,7104.02478534891,9,6.66666666666667,0.219512195121951,74.53,5.76388869552463,19.6068275152939,22.966656369073,3.69890203698983,0.545937982554667,0,0,0.656858446676933,0.408897183077904,0,0.754901960784314,0.37042075864498,254.134669248957,212.295952033454,128.79781637956,1.64828844153561,0,0,1,16,16,0,none,-81.75,-80.25,27,29.25,-82.25,-79.75,26.5,29.75,0,24,24,BASIN_NA
GTC_0072,79,-81.4840496508263,29.6881242048099,BASIN_NA,North American East and West Coasts,18,4326.0837096604,4,3.11111111111111,0.0975609756097561,62.194,5.49531768972131,27.0623241964716,22.981716120561,12.3995485494194,0.382865276125862,0,0,0.579515239242727,0.173488269711265,0,0.519607843137255,0.237259140046777,156.918491525227,140.500319157096,92.4192116427546,1.52025013695419,0,0,1,11,11,0,none,-82,-81,29,30.5,-82.5,-80.5,28.5,31,0,25,25,BASIN_NA
GTC_0024,27,-80.4149330079341,32.4702934261614,BASIN_NA,North American East and West Coasts,86,18399.9640909794,15,7.67441860465116,0.365853658536585,61.68,4.29403999340949,16.5924512943973,20.2680952445299,3.60839967722827,0.500553945841971,0,0,0.805272654658391,0.568521353444916,0,0.509803921568628,0.439443464466507,597.991588683734,566.728441394725,159.695887252496,3.54879797560891,1,2,1,50,50,0,none,-82.25,-77.75,30.5,34.75,-82.75,-77.25,30,35.25,0,26,26,BASIN_NA
GTC_0035,31,-76.4402443399697,36.5785582006341,BASIN_NA,North American East and West Coasts,163,29064.9516530946,13,6.38036809815951,0.317073170731707,51.4,3.64782629498452,11.0374868696292,13.4087976968554,3.56876711729282,0.429892965750768,0,0,0.876573234897428,0.523170984981065,0,0.313725490196078,0.41595558999152,603.329576837876,572.620589236997,269.412504342082,2.12544176683768,1,2,1,127,127,1,kept_to_preserve_estuary_proxy,-78.25,-74.75,34.25,39.25,-78.75,-74.25,33.75,39.75,0,27,27,BASIN_NA
GTC_0080,74,-77.9066392455081,24.5245952060216,BASIN_NA,North American East and West Coasts,31,4475.77235744089,4,2.38709677419355,0.0975609756097561,74.53,1.43268035736624,5.28601382806548,3.4452671680983,3.75714207632359,0.282712530855951,0,0,0.584819299610222,0.173488269711265,0,0.754901960784314,0.261849363884982,292.939530720113,247.388405233759,161.458767547391,1.53220793761569,1,1,1,31,31,0,none,-78.75,-77,23.5,26,-79.25,-76.5,23,26.5,0,28,28,BASIN_NA
GTC_0089,92,-77.4833624470262,18.0769561608737,BASIN_NA,North American East and West Coasts,26,829.546931906893,3,2.76923076923077,0.0731707317073171,66.82,4.46299638115854,4.08902867793383,7.65590864527703,3.83762905704011,0.296643666232572,0,0,0.322088761129576,0.0977035267116395,0,0.607843137254902,0.164283476636061,262.844180581646,244.515516251779,97.0606006661807,2.51920464713316,1,1,1,26,26,0,none,-78.5,-76,17.5,18.75,-79,-75.5,17,19.25,0,29,29,BASIN_NA
GTC_0094,96,-73.8717619498374,40.5409414573776,BASIN_NA,North American East and West Coasts,22,1618.28697194983,2,2,0.0487804878048781,38.55,4.35858901903454,3.17055082020725,3.1488140373778,42.169501201477,0.254824154456927,0,0,0.426218294398904,0,0,0.0686274509803921,0.0921064039778201,203.174359231957,152.454225985246,118.678087252895,1.28460299212926,1,1,1,22,22,0,none,-74.75,-72.75,39.75,41.25,-75.25,-72.25,39.25,41.75,0,30,30,BASIN_NA
GTC_0063,70,-72.0855699168282,18.9300175617633,BASIN_NA,North American East and West Coasts,71,2502.73806948909,6,4.05633802816901,0.146341463414634,66.82,3.75204538714603,9.37522693415069,11.3112848447199,8.37779470456871,0.313112102253917,0,0,0.494186661584693,0.287762071614427,0,0.607843137254902,0.2747264746882,526.998022266233,439.993879972649,272.327891715258,1.61567688568859,1,2,1,68,68,1,kept_to_preserve_estuary_proxy,-74.5,-70,17.5,20.25,-75,-69.5,17,20.75,0,31,31,BASIN_NA
