estuary_proxy_id,source_connected_group,lon,lat,grid_cell_count,lowlying_area_km2,tc_landfall_count_max,mean_coast_distance_km,span_km
EST_0024,5,-88.3570125241624,21.3325495126904,28,5952.62747921215,10,23.0206067704395,235.374158823998
EST_0025,5,-83.7113046377433,13.3543009533725,29,6893.6681920286,8,19.3439097853594,284.719124959977
EST_0026,5,-91.4328201883718,18.5923148393313,18,5428.03264726095,4,11.6932337411064,193.494481905708
EST_0027,5,-88.4124340804394,17.5539400349634,28,4107.69944302252,7,15.2394946805927,235.695427664231
EST_0028,6,-85.3722246054581,10.4315027400505,11,549.317330631077,3,5.94287413123348,138.326454889529
EST_0029,7,-81.3848150079446,22.4506593623771,46,7648.85763680746,9,6.11979679165127,302.550764383829
EST_0030,7,-83.1275033207085,22.0028244923339,24,2880.15585297268,9,3.39674022696674,227.708052413234
EST_0031,7,-77.4461174071832,20.5751963430426,26,2191.82437733762,6,5.35702021108187,259.574826834661
EST_0032,7,-77.2659835460925,21.6142452079829,22,3376.81823440524,6,3.35587468998684,271.266763115875
EST_0033,7,-78.6929676563099,21.9298948314578,27,3922.66428054554,7,6.15206191203122,211.055222149664
EST_0034,7,-79.8929228870757,22.8068220308175,9,1098.67326704413,6,2.84917052823036,122.575232358345
EST_0035,7,-84.2103664284753,22.2198573678664,14,1747.68154712697,8,2.49396360352771,211.933617192615
EST_0036,8,-77.9022690755701,24.5232261163445,34,4489.9162351056,4,2.41605692857384,284.572398624816
EST_0037,9,-77.577172162525,18.0892201939831,23,770.601506233402,3,2.82176649618246,216.065443866679
EST_0038,10,-73.8251978015757,40.5668779843592,30,2017.80953562349,2,10.3492028452279,253.149298495792
EST_0039,10,-70.7923539353821,42.4890889291353,27,1059.78270350394,2,6.4383333650282,270.673311596733
EST_0040,10,-71.9956169495339,41.3512410070447,20,839.883141746837,2,8.03824959613297,183.787664240581
EST_0041,11,-71.393969094749,18.3095874143657,28,950.107257650559,5,8.8662630836888,298.613299537021
EST_0042,11,-72.337806052744,19.4575562462971,31,1363.02651850074,6,2.19680738448648,286.390144669459
EST_0043,11,-69.6083471771187,19.0702495427995,28,1340.25775480259,4,3.96078164558993,289.690377835275
EST_0044,12,-73.7047958330352,22.4745489305387,11,789.530628573641,4,1.50967584091091,164.029993202173
EST_0045,13,-73.2939388180517,21.1160816431343,10,1485.90203100282,4,3.08549900098162,114.177381384711
EST_0046,14,-65.4222756336963,43.9213292005513,32,758.710212239355,6,1.91970109697464,245.826620732687
EST_0047,14,-63.3324351099684,45.0835268319512,41,677.822827464712,6,4.74019168093165,288.936622826389
EST_0048,14,-61.0778674149203,45.8437804540556,52,938.653344374102,5,2.19178073159435,302.325962664865
EST_0049,14,-64.0409548131513,46.2874133057613,42,1778.0752908404,6,4.68560014860006,254.692089602337
EST_0050,15,-66.3322231720705,18.1983610503734,22,866.351451509178,6,2.06905698272884,203.026916613138
EST_0051,16,-54.1804636783285,48.8487977947646,60,722.38218949604,5,2.4320211920066,310.27987641118
EST_0052,16,-55.2564909944005,47.2492513695575,40,286.7427600858,5,1.44761225689963,269.638675422082
EST_0053,17,36.4912931993482,-18.188984683896,35,13328.7089919294,6,11.888452911167,287.557979642331
EST_0054,17,34.7839889450279,-19.848263230446,23,4481.87937217493,8,6.15403168475327,212.162417939715
EST_0055,17,35.019005162473,-21.113146442978,9,1233.17809879137,6,3.49474559151188,122.834042916058
EST_0056,18,46.5329988054036,-15.8140136420962,33,3782.31089687027,10,6.31955318988678,293.186845324461
EST_0057,18,47.8876350719879,-14.5466604924184,21,1021.22011021556,11,4.32492901838634,236.837815170182
EST_0058,18,50.0425699889048,-15.3444482094086,19,1235.64444013959,13,2.49061506950029,263.092550817415
EST_0059,18,44.4943188050694,-16.6902762264616,17,2027.7667160015,7,4.94005141814969,198.121997305865
EST_0060,18,43.6911893539872,-21.3824314976024,17,1758.0964947882,4,2.8509512897575,257.599431951689
EST_0061,18,49.5701414106734,-17.1534828011942,13,581.384391408981,12,2.39455423138883,160.396277761634
EST_0062,18,44.4465831455299,-19.5030794082917,14,1600.51201919153,5,4.46423797420687,159.863553860596
EST_0063,18,49.0552523730882,-13.1292589279381,28,1976.15134005098,10,3.11114618864996,257.630989744268
EST_0064,18,48.9189909320114,-19.4475832246246,19,1308.79348846102,10,4.26823075448886,246.144305203303
EST_0065,18,48.3436729153722,-21.0761754675556,10,729.923098059094,6,2.93577803223529,135.872357069813
EST_0066,19,47.5497208154382,-23.7156700451274,9,479.913176123482,2,3.82615255376711,122.42969116242
EST_0067,20,58.402852186574,20.5501136400929,15,1843.56088316985,2,3.00545728365238,171.373853985416
EST_0068,21,69.3379978945402,23.9908353793027,38,13583.7493044526,2,54.6641724724976,285.036163667216
EST_0069,22,89.9194379895621,22.5034391788171,55,26091.354884516,11,22.4988176858541,306.573812702361
EST_0070,22,88.2735179147562,22.3115824003012,31,16182.3156529723,6,30.7103353827987,245.689698685556
EST_0071,22,93.1443028549101,20.2927647336355,38,6716.72873890537,11,11.6139647944364,305.245677495455
EST_0072,22,91.5866043557168,22.6327699163798,23,5689.8447372071,11,20.4966216356932,257.028960768696
EST_0073,22,86.0787209875835,20.1559698211926,28,7590.27997011401,6,21.3677882721764,285.71676378142
EST_0074,22,86.9335641535192,21.1966208251675,15,4188.85754916808,6,11.5818589889926,184.232512589137
EST_0075,23,113.281815664866,22.7390010429932,52,9438.19795465489,25,15.0029387894139,285.033976534326
EST_0076,23,106.177430190861,20.5345917109091,40,12721.6736211436,15,22.2018158249566,305.021547438436
EST_0077,23,116.327478764967,23.2856753755289,33,4129.03034846125,24,8.88319959120006,305.335226946011
EST_0078,23,105.812440725268,18.5048134636059,22,3170.21376575859,14,15.1950050247996,212.825236900382
EST_0079,23,120.866216899287,30.8453198926661,60,23453.4230907255,10,21.7619251924562,315.076193518253
EST_0080,23,120.969469198484,28.1145420795542,35,3426.65394792623,24,8.99272322187327,313.644082505377
EST_0081,23,110.194439989275,20.9624813593162,51,3992.68494755592,34,4.68525290882037,304.619222467541
EST_0082,23,119.302949998386,25.6846766396186,35,2051.77203377223,40,9.2118057879469,283.531965607237
EST_0083,23,111.904208091886,21.7786678590324,15,1169.13917174148,31,7.77813073463455,176.109887282946
EST_0084,23,107.504022692371,16.5712728836411,25,3049.23484058697,13,12.1613727233708,308.391078859315
EST_0085,23,117.97225517328,24.4223240901569,16,868.099847869909,33,6.29511655009102,188.435721256411
EST_0086,24,113.755296529742,-24.2106088384284,25,5254.6233888818,4,16.2596280689518,244.697075516688
EST_0087,24,114.79014744468,-22.0062164355057,30,3924.14094598623,12,5.5650731189657,265.501772780129
EST_0088,24,119.074688269593,-20.1867172423644,19,2588.76781845343,15,4.94729692106019,274.223574741028
EST_0089,24,121.290768928468,-19.4189732582979,17,2557.35738336958,14,9.50476217836385,191.272362766982
EST_0090,24,117.124104930174,-20.778388708517,17,1853.15055896574,14,3.61521861214916,200.363087303098
EST_0091,24,115.812124178848,-21.166122260613,7,470.312133109991,11,2.4937988303696,122.826198567464
EST_0092,25,119.729487134733,11.5133131737847,18,393.792783801719,16,1.25552809395548,199.451195825395
EST_0093,25,119.324976483614,10.3437664910298,20,485.078095512404,8,1.59064996099129,236.833565833066
EST_0094,26,120.466936876314,15.5289322720134,25,3107.40763704708,55,10.1998682939767,298.252921572173
EST_0095,26,121.497012231621,18.3248861720529,28,1215.64572308837,51,5.40830787735949,289.427091316793
EST_0096,26,124.861464766318,12.03609754411,40,1962.69178131396,41,2.869287883577,293.034556849336
EST_0097,26,125.77986601298,9.09667904672767,38,1352.69446687741,19,5.15768680684377,315.812507958101
EST_0098,26,121.266335665417,12.8344166325703,38,1343.28764485144,36,1.83413806953098,310.952162053908
EST_0099,26,120.391728684325,17.6149468846353,7,269.860659366106,52,3.78898954828884,87.6022890005623
EST_0100,26,122.782779127972,11.2508223528956,34,1620.42747630186,40,1.99923862835552,293.385200284519
EST_0101,27,120.292759141553,23.4172503321373,18,2343.66518808796,48,5.8456183632559,261.925229543543
EST_0102,29,128.573649364898,35.2159188497167,33,1178.19350732476,14,7.20824806331087,282.532190931761
EST_0103,29,126.694612793053,35.6638581207136,42,2916.83020632581,12,6.60820665618996,309.60519836917
EST_0104,29,125.621697305535,38.6382744376897,49,3523.32836322098,4,7.18640948568923,296.386157243509
EST_0105,29,126.727895870693,37.2557332359214,17,966.317051588058,7,5.09679345156479,138.698613961157
EST_0106,30,140.127769937671,35.8065189612276,35,3585.61183375164,19,11.4562148969015,273.000967956645
EST_0107,30,136.940917426175,34.9554619416014,25,2203.98606243825,22,5.64776521811435,229.47751387343
EST_0108,30,134.160796895518,34.3477538397818,43,2136.33851538025,27,2.35576702248107,302.926857623895
EST_0109,30,139.108924822787,37.9330440545698,24,1621.95117071823,13,4.17679576191366,262.273275230301
EST_0110,30,141.123148983644,38.3909291916107,21,1290.82320137774,12,7.10235937349955,273.185493266495
EST_0111,30,135.583147611801,34.4514286913999,16,458.32337320354,19,6.8341968473252,202.604270311469
EST_0112,30,133.270438887542,35.3918620953248,22,533.662131038444,18,3.14710404472809,263.155661205461
EST_0113,30,140.407289191901,40.3750842668649,32,1197.64129219462,3,5.15506275253106,302.49516239304
EST_0114,30,136.695826239325,36.5853137228417,25,1030.05478933648,14,3.83222080576017,249.840408269769
EST_0115,31,135.512983036484,-14.7072383510529,29,4665.34909449218,7,20.6818140165778,275.052234190806
EST_0116,31,134.723714322344,-12.2074055786238,34,5086.16504140867,6,11.4832564977195,305.533403889075
EST_0117,31,137.005132026135,-16.018867212486,23,4061.33122807345,5,13.5048071620252,233.288821389047
EST_0118,31,132.434466175,-12.2270212198348,39,7631.58565627059,4,19.5699653282251,292.945873712371
EST_0119,31,131.343386370631,-12.5045004885254,7,1968.55180353005,2,25.4822436627293,99.6161730583786
EST_0120,32,141.644533408167,-15.2588128181203,21,6399.02736694501,7,15.5554565804495,256.161425067507
EST_0121,32,141.692808639336,-13.4483831846717,13,2120.85363088184,6,10.5099238048091,161.109511190326
EST_0122,32,141.196896290042,-17.0224601767985,16,5819.21336294599,4,19.0758032809363,175.193754221377
EST_0123,33,142.743912868028,42.3424547546481,12,104.311094827349,2,1.77129142054977,132.471707576625
EST_0124,34,144.165353472356,-14.5028634543754,25,2395.30839369207,6,5.64878656899977,290.535443102816
EST_0125,34,147.196050874954,-19.4414197943391,25,2594.42967369771,5,4.89835090943816,289.253275256351
EST_0126,34,146.084315360229,-18.0847013909683,12,1086.39119110487,4,4.76032731211206,148.869824222349
EST_0127,34,145.711250901672,-16.9096594190578,7,477.549981157993,5,3.64256881327476,123.40210416186
EST_0128,35,164.609487157746,-20.7707728768272,23,581.760901885753,10,1.89145844534767,304.800382610083
EST_0129,35,166.002474763011,-21.8397220414803,23,499.229642406859,10,1.86160541690276,228.169965231964
EST_0130,37,167.64758362204,-16.223916193093,26,115.692793969774,10,1.34771592905386,270.073004811004
