grid_id,grid_row,grid_col,lon,lat,lowlying_area_km2,lowlying_sample_count,mean_elevation_m,min_elevation_m,mean_coast_distance_km,tc_landfall_count,tc_landfall_per_year,tc_landfall_max_wind_ms,tc_landfall_mean_wind_ms,nearest_landfall_km,impact_min_wind_ms,score_lowland_area,score_landfall,score_wind,screen_score,rank_grid,low_elevation_threshold_m,coast_buffer_km,osm_coast_distance_km,osm_coast_within_inland_cap,osm_coast_contact_cell,ocean_connected_cell,ocean_sample_count,landcover_sample_count,population_sum_2020,population_density_per_lowland_km2,estuary_proxy_id,model_domain_id
LLC_441_1143,441,1143,105.625,20.125,69.5173172663772,86,8.13126680865127,1.5,37.7139500923065,11,0.268292682926829,46.26,36.5874545454545,20.9739373976924,33,0.619019476213382,0.470817826733276,0.238095238095238,0.502600180703618,2210,10,200,41.2280311584473,1,0,0,0,0,0,0,EST_0076,GTC_0026
LLC_486_1200,486,1200,119.875,31.375,481.107278027205,655,3.42407764337374,0,60.0626697951266,4,0.0975609756097561,38.55,35.27325,72.6178318771616,33,0.930764484881273,0.173488269711265,0.0952380952380953,0.502525040366793,2211,10,200,121.850486755371,1,0,0,0,0,0,0,,GTC_0042
LLC_499_1230,499,1230,127.375,34.625,48.8478518795073,69,3.81049350227744,-0.129999995231628,1.33301985518612,12,0.292682926829268,51.4,39.0925555555556,19.5935303709412,33,0.562764704999239,0.498002193004707,0.333333333333333,0.50244499445154,2212,10,200,4.58423519134521,1,1,1,0,0,0,0,EST_0103,GTC_0045
LLC_448_0382,448,382,-84.625,21.875,147.671189050612,185,4.72352248952747,0,2.42609514225324,4,0.0975609756097561,69.39,46.7311666666667,33.182930252453,33,0.739980290737358,0.173488269711265,0.666666666666667,0.502386438716317,2213,10,200,4.08684206008911,1,1,1,0,0,0,0,EST_0035,GTC_0031
LLC_452_0399,452,399,-80.375,22.875,105.404527435861,133,3.69207001361716,-0.5,1.6704566378657,6,0.146341463414634,61.68,48.4445,29.3893477366796,33,0.685735474770324,0.287762071614427,0.523809523809524,0.502257220863845,2214,10,200,6.75211620330811,1,1,1,0,0,0,0,EST_0029,GTC_0031
LLC_476_0334,476,334,-96.625,28.875,155.339318497901,206,6.23874363604638,-1,8.79578069250082,5,0.121951219512195,59.11,45.1035,47.8210721490221,33,0.748136204244844,0.235408913366638,0.476190476190476,0.502253428685407,2215,10,200,12.4903678894043,1,1,1,0,0,0,0,EST_0020,GTC_0012
LLC_289_0918,289,918,49.375,-17.875,75.3612803445124,92,5.60136173934375,1,2.91772116530945,8,0.195121951219512,58.082,45.9295714285714,19.638334359446,33,0.631931214921466,0.373114300021637,0.457142857142857,0.502186195294743,2216,10,200,8.86537456512451,1,1,1,0,0,0,0,EST_0061,GTC_0036
LLC_456_0999,456,999,69.625,23.875,624.811993106036,794,2.75130363631913,-1.27999997138977,86.5046803528451,2,0.0487804878048781,56.54,47.288,101.453766528403,33,0.973072514525121,0,0.428571428571429,0.502168345822019,2217,10,200,45.8690910339355,1,0,0,0,0,208.930614501238,0.334389571273451,EST_0068,GTC_0076
LLC_291_0871,291,871,37.625,-17.375,593.776399185861,723,4.23965640158076,0,9.90232258777645,3,0.0731707317073171,43.69,37.8304,63.0563326436216,33,0.964823712161107,0.0977035267116395,0.19047619047619,0.501823509728582,2218,10,200,14.279224395752,1,1,1,0,0,0,0,EST_0053,GTC_0055
LLC_478_0388,478,388,-83.125,29.375,474.589405238852,633,2.29960792338733,-2.88000011444092,8.49397056918486,4,0.0975609756097561,38.55,35.466,121.052690870871,33,0.928557033965258,0.173488269711265,0.0952380952380953,0.501531687454587,2219,10,200,3.05708575248718,1,1,1,0,0,0,0,,GTC_0052
LLC_434_0454,434,454,-66.625,18.375,75.9140724257099,93,4.0875382227573,-0.5,2.42760313272475,6,0.146341463414634,69.904,48.573,23.1077999209372,33,0.63310097777306,0.287762071614427,0.676190476190476,0.501428840072219,2220,10,200,12.8194131851196,1,1,1,0,0,0,0,EST_0050,GTC_0073
LLC_309_0919,309,919,49.625,-12.875,114.957424012977,137,5.26993894959397,0,4.13078501704974,6,0.146341463414634,59.11,43.6328888888889,28.4553474890342,33,0.699678225137898,0.287762071614427,0.476190476190476,0.501388601386396,2221,10,200,8.32114601135254,1,1,1,0,0,0,0,EST_0063,GTC_0058
LLC_422_0383,422,383,-84.375,15.375,131.894704214926,159,6.61764556075824,0.579999983310699,18.4017774382172,4,0.0975609756097561,71.96,47.9733333333333,117.744514158164,33,0.72178781686321,0.173488269711265,0.714285714285715,0.501342682615808,2222,10,200,25.4150505065918,1,1,1,0,0,0,0,,GTC_0051
