block_id,basin_id,basin_label,model_domain_id,rank_domain,domain_lon,domain_lat,domain_priority,domain_grid_cell_count
ADC_SIO_01,BASIN_SIO,South Indian Ocean,GTC_0043,62,34.8859348972252,-20.3267912920794,0.322689047187489,44
ADC_SIO_01,BASIN_SIO,South Indian Ocean,GTC_0055,65,36.4912931993482,-18.188984683896,0.312181075704503,35
ADC_SIO_01,BASIN_SIO,South Indian Ocean,GTC_0087,81,39.54894407528,-16.016443662803,0.23257089950581,49
ADC_SIO_02,BASIN_SIO,South Indian Ocean,GTC_0068,87,43.7507665641329,-22.3817903723551,0.202268413303756,40
ADC_SIO_02,BASIN_SIO,South Indian Ocean,GTC_0071,84,44.4465831455299,-19.5030794082917,0.210435478884703,14
ADC_SIO_02,BASIN_SIO,South Indian Ocean,GTC_0070,71,44.3710297440689,-17.0748514189818,0.268104843361609,26
ADC_SIO_03,BASIN_SIO,South Indian Ocean,GTC_0044,47,46.8211277025447,-15.5473535418362,0.361496776019551,55
ADC_SIO_03,BASIN_SIO,South Indian Ocean,GTC_0058,55,49.061680401296,-13.0803649424591,0.340070000328487,32
ADC_SIO_03,BASIN_SIO,South Indian Ocean,GTC_0036,43,49.8748742107473,-15.9106840959372,0.374118710642776,36
ADC_SIO_03,BASIN_SIO,South Indian Ocean,GTC_0060,60,48.4508875722698,-20.7564649721062,0.327362635862459,38
ADC_SIO_03,BASIN_SIO,South Indian Ocean,GTC_0090,95,47.4937795534455,-23.851774649544,0.09850042391886,11
ADC_NIO_01,BASIN_NIO,North Indian Ocean,GTC_0081,69,58.402852186574,20.5501136400928,0.274971255097388,15
ADC_NIO_02,BASIN_NIO,North Indian Ocean,GTC_0076,25,69.8902813327109,24.0285690153574,0.45495326778209,63
ADC_NIO_02,BASIN_NIO,North Indian Ocean,GTC_0079,39,70.6223293879368,22.7276150497368,0.378108816143616,50
ADC_NIO_03,BASIN_NIO,North Indian Ocean,GTC_0065,2,79.8657763932207,10.722736661663,0.618335291607013,58
ADC_NIO_03,BASIN_NIO,North Indian Ocean,GTC_0056,5,80.5627345645349,15.5248835849581,0.579861270305445,35
ADC_NIO_03,BASIN_NIO,North Indian Ocean,GTC_0049,13,82.0383585853929,16.8605749278116,0.523049554784492,35
ADC_NIO_04,BASIN_NIO,North Indian Ocean,GTC_0040,57,86.3729361984377,20.5168514087212,0.331049424990837,44
ADC_NIO_04,BASIN_NIO,North Indian Ocean,GTC_0018,26,89.4784640180809,22.7893535579674,0.454013405203115,136
ADC_NIO_04,BASIN_NIO,North Indian Ocean,GTC_0019,32,93.2177079817575,20.1628653606939,0.415720087606559,100
ADC_NIO_05,BASIN_NIO,North Indian Ocean,GTC_0066,72,95.9164534372114,16.6962638524803,0.264704933222291,83
ADC_AUSSP_01,BASIN_AUSSP,Australia and South Pacific,GTC_0069,21,113.789422371824,-24.4741129978497,0.473738791076719,42
ADC_AUSSP_01,BASIN_AUSSP,Australia and South Pacific,GTC_0027,1,115.56311490434,-21.5860490834581,0.70642745627291,48
ADC_AUSSP_02,BASIN_AUSSP,Australia and South Pacific,GTC_0016,33,120.543410253615,-19.5050461273263,0.415126973420848,48
ADC_AUSSP_02,BASIN_AUSSP,Australia and South Pacific,GTC_0067,85,123.261473989188,-17.2641377762809,0.210087777885863,15
ADC_AUSSP_02,BASIN_AUSSP,Australia and South Pacific,GTC_0075,73,124.663968782588,-15.9667250180001,0.26280714594739,80
ADC_AUSSP_02,BASIN_AUSSP,Australia and South Pacific,GTC_0082,83,128.435049057112,-15.1811405206598,0.212514153361744,29
ADC_AUSSP_03,BASIN_AUSSP,Australia and South Pacific,GTC_0041,58,133.056901527605,-12.2269676846956,0.327868789255286,90
ADC_AUSSP_03,BASIN_AUSSP,Australia and South Pacific,GTC_0057,63,135.847529539359,-13.9769466267395,0.319051379909111,74
ADC_AUSSP_03,BASIN_AUSSP,Australia and South Pacific,GTC_0062,75,137.005310929446,-16.0187948217315,0.25907127011036,22
ADC_AUSSP_04,BASIN_AUSSP,Australia and South Pacific,GTC_0059,59,141.544231988829,-15.2025296312491,0.327571997999101,64
ADC_AUSSP_05,BASIN_AUSSP,Australia and South Pacific,GTC_0053,68,144.226384765034,-14.4788421200995,0.28179133286924,52
