block_id,rank_block,basin_id,basin_label,lon,lat,domain_count,grid_cell_count,lowlying_area_km2,priority_max,tc_landfall_count_max,population_sum_2020,inner_area_km2,outer_area_km2,block_span_km,inner_along_half_km,inner_cross_half_km,outer_along_half_km,outer_cross_half_km,shelf_width_km,outer_buffer_km,shelf_add_area_km2,shelf_add_cell_count,shelf_add_component_count,bay_add_area_km2,bay_add_cell_count,bay_add_core_cell_count,bay_add_component_count,open_ocean_area_risk,auto_alongshore_radius_deg,auto_offshore_deg,auto_inland_deg,auto_bay_close_deg,auto_ellipse_ratio,auto_inner_radius,member_domains
ADC_NA_06,11,BASIN_NA,North American East and West Coasts,-84.1727762978848,14.0235545405689,2,103,16375.0539049076,0.364452402544328,8,0,265774.837701545,2876406.67681714,858.911649310399,478.253341470491,308.547675379491,1072.44296953056,856.658079511519,250,430,0,0,0,1862377.19567683,2155,2155,5,0,9.63387504069855,7,1.5,3,0.798791268020994,4.29620321119737,GTC_0051;GTC_0028
ADC_NA_07,12,BASIN_NA,North American East and West Coasts,-85.4588276811173,10.5352375697951,1,16,599.875138836764,0.144382616299172,3,0,67678.0046360306,740870.532998173,293.684840267038,196.677888592442,118.051821611805,512.831478191687,472.259753764305,250,430,0,0,0,400643.243634263,395,395,2,0,4.60682247746755,4.24236214304981,1.5,3,0.92088682900191,1.76677945196229,GTC_0088
ADC_NA_08,13,BASIN_NA,North American East and West Coasts,-88.9556837008837,19.5517474432393,4,174,38999.9961373696,0.409040259185752,11,0,351065.630176362,3503189.12032559,814.65049727812,445.333417918577,346.127202342998,987.128560914344,1182.91655007547,250,430,0,0,0,1821489.48417757,2436,2436,4,0,8.86748617422156,7,1.5,3,1.19834092226019,4.00047985913202,GTC_0039;GTC_0032;GTC_0013;GTC_0025
ADC_NA_09,14,BASIN_NA,North American East and West Coasts,-89.9400717485337,30.0877322679761,1,171,36096.232522144,0.488305060598127,16,0,285484.465574664,2715643.51405631,830.465902541102,462.827945221543,251.027030083505,999.991013891322,926.931013133472,250,430,0,0,0,1416010.27911355,2099,2099,3,0,8.98303102669172,7,1.5,3,0.926939342711143,4.15763515290643,GTC_0010
ADC_NA_10,15,BASIN_NA,North American East and West Coasts,-82.200020663436,22.3185740827959,1,88,12383.7249351356,0.377949331105369,9,0,175527.698126696,2857897.4167946,541.301820312979,318.227351995335,180.119831211316,919.087402839923,1045.14356668471,250,430,0,0,0,943368.115068075,1220,1220,3,0,8.25626484764573,7,1.5,3,1.13715361940037,2.85867186485209,GTC_0031
ADC_NA_11,16,BASIN_NA,North American East and West Coasts,-77.9218455705984,22.1658407573007,3,174,17069.5534575212,0.341132830450135,7,0,407448.442315623,4637482.26711467,979.490461065737,536.641282482824,365.074733311256,1457.08363162823,1093.17543606638,250,430,0,0,0,2341987.98278304,2797,2797,6,0,12,7,1.5,3,0.750248930354674,4.82070861015831,GTC_0089;GTC_0050;GTC_0080
ADC_NA_12,17,BASIN_NA,North American East and West Coasts,-81.0155548314955,28.6871621365304,6,244,67181.5906832819,0.439443464466507,15,0,440154.736758594,3362152.24063075,1232.4043388736,665.494841676955,352.535454663335,1328.76893469599,1015.58223427998,250,430,35537.2634117546,47,1,944359.198133306,767,767,3,0,11.9364798301832,7,1.5,3,0.764303113778269,5.97821453177287,GTC_0021;GTC_0052;GTC_0015;GTC_0030;GTC_0072;GTC_0024
ADC_NA_13,18,BASIN_NA,North American East and West Coasts,-70.2430008103061,18.8242851429394,3,129,5002.02602577917,0.2747264746882,6,0,309653.837967681,4575436.35068082,1004.45077541769,551.832238510415,211.586219020103,1368.35450988478,1147.70708237675,250,430,0,0,0,1613687.92591787,1913,1913,4,0,12,7,1.5,3,0.838749807952464,4.95717066574214,GTC_0063;GTC_0078;GTC_0073
ADC_NA_14,19,BASIN_NA,North American East and West Coasts,-75.9646033632862,37.1409916719683,3,240,32976.5318256726,0.41595558999152,13,0,382520.382137931,1954496.01810954,1320.29884888022,709.930329233129,244.521175218081,1157.36675229914,548.078761230392,250,430,0,0,0,279854.568217669,267,267,1,0,10.3967548715338,4.92345275988494,1.5,3,0.65,6.37738348215171,GTC_0035;GTC_0094;GTC_0095
ADC_NA_15,20,BASIN_NA,North American East and West Coasts,-64.0881626616015,45.5295105919905,3,214,5126.29703968692,0.240351919740728,6,0,293954.536227986,2165388.69794084,763.602067914535,431.377649367164,255.057566114032,1038.79730664487,721.850748704907,250,430,0,0,0,795716.098596385,740,740,3,0,9.33163229109661,6.4844659423725,1.5,3,0.694890855114318,3.8751136306788,GTC_0093;GTC_0091;GTC_0086
ADC_NA_16,21,BASIN_NA,North American East and West Coasts,-54.898599622552,48.3396974715917,1,136,1215.98818579159,0.206772933748768,5,0,214844.409771091,1972248.91544625,537.191200467369,318.588458739073,277.988203252518,822.998339434863,849.579438603502,250,430,0,0,0,193579.195138289,256,256,1,0,7.39308605313388,7,1.5,3,1.0322978770369,2.86191572708474,GTC_0096
ADC_NIO_01,22,BASIN_NIO,North Indian Ocean,58.402852186574,20.5501136400928,1,15,1843.56088316985,0.274971255097388,2,2984.84424204138,57711.193253247,3903185.19247914,229.42833116779,164.60229490345,117.776965714736,1489.01495954272,1256.08692544276,250,430,0,0,0,1493321.15988555,2056,2056,4,0,12,7,1.5,3,0.843569043677376,1.5,GTC_0081
ADC_NIO_02,23,BASIN_NIO,North Indian Ocean,70.0818804718126,23.6880667164184,2,113,31729.1970961618,0.45495326778209,2,312897.827540931,218080.508413824,3089586.62223329,550.435812123225,316.556143860082,266.109667468193,1038.85652399801,1150.15203248461,250,430,0,0,0,943535.463071967,1043,1043,3,0,9.33216424719737,7,1.5,3,1.10713270400255,2.84365921541575,GTC_0076;GTC_0079
ADC_NIO_03,24,BASIN_NIO,North Indian Ocean,80.7068483477283,14.1367134786523,3,128,26172.0581450001,0.618335291607013,7,5875142.09198148,327515.194395063,4328113.75167285,1261.63206757089,673.899476297536,252.964551862851,1489.76939705206,1206.74961827054,250,430,43392.2123733289,44,1,749261.390249297,1012,1012,2,0,12,7,1.5,3,0.81002443778107,6.05371430378671,GTC_0065;GTC_0056;GTC_0049
ADC_NIO_04,25,BASIN_NIO,North Indian Ocean,89.8315293507417,21.9845632828411,3,280,94765.4827984203,0.454013405203115,11,0,484539.354104862,3813873.71983769,1202.97003338075,648.26577245491,440.375597797761,1231.647904833,1200.04593006566,250,430,43171.3362538972,58,1,1119854.95727679,1601,1601,3,0,11.0640307656576,7,1.5,3,0.97434171353409,5.82344387760429,GTC_0040;GTC_0018;GTC_0019
ADC_NIO_05,26,BASIN_NIO,North Indian Ocean,95.9164534372114,16.6962638524803,1,83,33286.802951405,0.264704933222291,3,0,162010.672113826,2397151.5297573,508.045764936389,302.438871324427,185.977004271695,680.714409377895,1268.76985896192,250,430,0,0,0,1085262.01483459,1676,1676,3,0,6.11493360921573,7,1.5,3,1.55,2.71684217862403,GTC_0066
